event,map,match_id,team,opponent,agent
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,LOUD,MIBR,omen
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,LOUD,MIBR,skye
americas_stage_1,SPLIT,americas_stage_1_split_loud_mibr,LOUD,MIBR,cypher
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,LEVIATÁN,G2 Esports,neon
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,LEVIATÁN,G2 Esports,viper
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,LEVIATÁN,G2 Esports,omen
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,LEVIATÁN,G2 Esports,fade
americas_stage_1,SPLIT,americas_stage_1_split_g2_esports_leviat_n,LEVIATÁN,G2 Esports,phoenix
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,FURIA,NRG,neon
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,FURIA,NRG,viper
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,FURIA,NRG,omen
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,FURIA,NRG,fade
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,FURIA,NRG,vyse
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,KRÜ Esports,NRG,neon
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,KRÜ Esports,NRG,viper
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,KRÜ Esports,NRG,omen
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,KRÜ Esports,NRG,fade
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,KRÜ Esports,NRG,vyse
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,100 Thieves,Sentinels,viper
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,100 Thieves,Sentinels,omen
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,100 Thieves,Sentinels,fade
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,100 Thieves,Sentinels,raze
americas_stage_1,SPLIT,americas_stage_1_split_100_thieves_sentinels,100 Thieves,Sentinels,sage
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,Cloud9,ENVY,neon
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,Cloud9,ENVY,viper
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,Cloud9,ENVY,omen
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,Cloud9,ENVY,vyse
americas_stage_1,SPLIT,americas_stage_1_split_cloud9_envy,Cloud9,ENVY,skye
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,NRG,FURIA,viper
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,NRG,FURIA,omen
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,NRG,FURIA,skye
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,NRG,FURIA,raze
americas_stage_1,SPLIT,americas_stage_1_split_furia_nrg,NRG,FURIA,deadlock
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,NRG,KRÜ Esports,neon
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,NRG,KRÜ Esports,viper
americas_stage_1,SPLIT,americas_stage_1_split_kr_esports_nrg,NRG,KRÜ Esports,omen
