map,maps_played,events_count,atk_win_rate,def_win_rate,agent,pick_rate
Fracture,31.0,4.0,0.56,0.44,skye,0.41
Fracture,31.0,4.0,0.56,0.44,breach,0.4
Fracture,31.0,4.0,0.56,0.44,raze,0.21
Fracture,31.0,4.0,0.56,0.44,veto,0.15
Fracture,31.0,4.0,0.56,0.44,fade,0.13
Fracture,31.0,4.0,0.56,0.44,astra,0.08
Fracture,31.0,4.0,0.56,0.44,chamber,0.03
Fracture,31.0,4.0,0.56,0.44,kayo,0.03
Fracture,31.0,4.0,0.56,0.44,killjoy,0.03
Fracture,31.0,4.0,0.56,0.44,phoenix,0.03
Fracture,31.0,4.0,0.56,0.44,sage,0.03
Fracture,31.0,4.0,0.56,0.44,vyse,0.03
Fracture,31.0,4.0,0.56,0.44,deadlock,0.02
Fracture,31.0,4.0,0.56,0.44,jett,0.02
Fracture,31.0,4.0,0.56,0.44,omen,0.02
Fracture,31.0,4.0,0.56,0.44,viper,0.02
Fracture,31.0,4.0,0.56,0.44,clove,0.0
Fracture,31.0,4.0,0.56,0.44,gekko,0.0
Fracture,31.0,4.0,0.56,0.44,harbor,0.0
Fracture,31.0,4.0,0.56,0.44,iso,0.0
Fracture,31.0,4.0,0.56,0.44,miks,0.0
Fracture,31.0,4.0,0.56,0.44,reyna,0.0
Fracture,31.0,4.0,0.56,0.44,sova,0.0
Fracture,31.0,4.0,0.56,0.44,yoru,0.0
Haven,44.0,4.0,0.53,0.47,omen,0.94
Haven,44.0,4.0,0.53,0.47,neon,0.9
Haven,44.0,4.0,0.53,0.47,sova,0.68
Haven,44.0,4.0,0.53,0.47,cypher,0.5
Haven,44.0,4.0,0.53,0.47,phoenix,0.38
Haven,44.0,4.0,0.53,0.47,viper,0.28
Haven,44.0,4.0,0.53,0.47,killjoy,0.27
Haven,44.0,4.0,0.53,0.47,waylay,0.2
Haven,44.0,4.0,0.53,0.47,chamber,0.17
Haven,44.0,4.0,0.53,0.47,skye,0.17
Haven,44.0,4.0,0.53,0.47,fade,0.15
Haven,44.0,4.0,0.53,0.47,jett,0.11
Haven,44.0,4.0,0.53,0.47,astra,0.06
Haven,44.0,4.0,0.53,0.47,breach,0.05
Haven,44.0,4.0,0.53,0.47,deadlock,0.05
Haven,44.0,4.0,0.53,0.47,vyse,0.05
Haven,44.0,4.0,0.53,0.47,veto,0.02
Haven,44.0,4.0,0.53,0.47,harbor,0.01
Haven,44.0,4.0,0.53,0.47,tejo,0.01
Haven,44.0,4.0,0.53,0.47,brimstone,0.0
Haven,44.0,4.0,0.53,0.47,clove,0.0
Haven,44.0,4.0,0.53,0.47,gekko,0.0
Haven,44.0,4.0,0.53,0.47,iso,0.0
Haven,44.0,4.0,0.53,0.47,kayo,0.0
Haven,44.0,4.0,0.53,0.47,miks,0.0
Haven,44.0,4.0,0.53,0.47,raze,0.0
Haven,44.0,4.0,0.53,0.47,reyna,0.0
Haven,44.0,4.0,0.53,0.47,sage,0.0
Haven,44.0,4.0,0.53,0.47,yoru,0.0
Lotus,51.0,4.0,0.54,0.46,omen,1.0
Lotus,51.0,4.0,0.54,0.46,fade,0.88
Lotus,51.0,4.0,0.54,0.46,neon,0.78
Lotus,51.0,4.0,0.54,0.46,viper,0.55
Lotus,51.0,4.0,0.54,0.46,raze,0.41
Lotus,51.0,4.0,0.54,0.46,vyse,0.35
Lotus,51.0,4.0,0.54,0.46,waylay,0.27
Lotus,51.0,4.0,0.54,0.46,cypher,0.18
Lotus,51.0,4.0,0.54,0.46,killjoy,0.14
Lotus,51.0,4.0,0.54,0.46,skye,0.11
Lotus,51.0,4.0,0.54,0.46,chamber,0.07
Lotus,51.0,4.0,0.54,0.46,phoenix,0.07
Lotus,51.0,4.0,0.54,0.46,veto,0.07
Lotus,51.0,4.0,0.54,0.46,deadlock,0.03
Lotus,51.0,4.0,0.54,0.46,sage,0.03
Lotus,51.0,4.0,0.54,0.46,harbor,0.02
Lotus,51.0,4.0,0.54,0.46,astra,0.01
Lotus,51.0,4.0,0.54,0.46,breach,0.01
Lotus,51.0,4.0,0.54,0.46,iso,0.01
Lotus,51.0,4.0,0.54,0.46,miks,0.01
Lotus,51.0,4.0,0.54,0.46,sova,0.01
Lotus,51.0,4.0,0.54,0.46,brimstone,0.0
Lotus,51.0,4.0,0.54,0.46,clove,0.0
Lotus,51.0,4.0,0.54,0.46,gekko,0.0
Lotus,51.0,4.0,0.54,0.46,jett,0.0
Lotus,51.0,4.0,0.54,0.46,kayo,0.0
Lotus,51.0,4.0,0.54,0.46,reyna,0.0
Lotus,51.0,4.0,0.54,0.46,tejo,0.0
Lotus,51.0,4.0,0.54,0.46,yoru,0.0
Pearl,35.0,4.0,0.49,0.51,astra,1.0
Pearl,35.0,4.0,0.49,0.51,neon,0.81
Pearl,35.0,4.0,0.49,0.51,fade,0.52
Pearl,35.0,4.0,0.49,0.51,killjoy,0.43
Pearl,35.0,4.0,0.49,0.51,phoenix,0.4
Pearl,35.0,4.0,0.49,0.51,chamber,0.37
Pearl,35.0,4.0,0.49,0.51,waylay,0.3
Pearl,35.0,4.0,0.49,0.51,sova,0.27
Pearl,35.0,4.0,0.49,0.51,tejo,0.26
Pearl,35.0,4.0,0.49,0.51,skye,0.17
Pearl,35.0,4.0,0.49,0.51,cypher,0.16
Pearl,35.0,4.0,0.49,0.51,kayo,0.09
Pearl,35.0,4.0,0.49,0.51,vyse,0.07
Pearl,35.0,4.0,0.49,0.51,harbor,0.04
