team,map,compositions,opponents,unique_comps,comp_diversity,map_volume_share,observed
Xi Lai Gaming,BIND,5,5,1,0.2,0.3125,True
Xi Lai Gaming,LOTUS,5,5,1,0.2,0.3125,True
Xi Lai Gaming,HAVEN,2,2,1,0.5,0.125,True
Xi Lai Gaming,SPLIT,2,2,1,0.5,0.125,True
Xi Lai Gaming,BREEZE,1,1,1,1.0,0.0625,True
Xi Lai Gaming,FRACTURE,1,1,1,1.0,0.0625,True
ZETA DIVISION,FRACTURE,2,2,1,0.5,0.25,True
ZETA DIVISION,SPLIT,2,2,1,0.5,0.25,True
ZETA DIVISION,BIND,1,1,1,1.0,0.125,True
ZETA DIVISION,HAVEN,1,1,1,1.0,0.125,True
ZETA DIVISION,LOTUS,1,1,1,1.0,0.125,True
ZETA DIVISION,PEARL,1,1,1,1.0,0.125,True
