map,agent,maps_played,events_count,pick_rate,atk_side_rate,def_side_rate,agent_picks,total_compositions,pick_rate_from_comps,side_delta,sample_confidence,observed,agent_presence_score
Breeze,chamber,24.0,4.0,0.08166666666666667,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,24.9
Breeze,iso,24.0,4.0,0.06166666666666667,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,23.7
Breeze,vyse,24.0,4.0,0.021666666666666667,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,21.3
Breeze,cypher,24.0,4.0,0.02,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,21.2
Breeze,sage,24.0,4.0,0.02,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,21.2
Breeze,breach,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,brimstone,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,clove,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,deadlock,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,fade,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,gekko,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,killjoy,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,miks,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,raze,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,reyna,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,tejo,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,veto,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Breeze,yoru,24.0,4.0,0.0,0.5058333333333334,0.49416666666666664,,,,0.0117,1.0,True,20.0
Fracture,brimstone,27.0,4.0,0.8903703703703704,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,73.42
Fracture,neon,27.0,4.0,0.8707407407407408,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,72.24
Fracture,cypher,27.0,4.0,0.6462962962962963,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,58.78
Fracture,waylay,27.0,4.0,0.5366666666666666,0.5344444444444444,0.46555555555555556,,,,0.0689,1.0,True,52.2
