map,agent_a,agent_b,pair_picks,teams_count,events_count,total_compositions,pair_pick_rate,agent_a_rate,agent_b_rate,synergy_lift,observed
SPLIT,fade,viper,21,16,4,68,0.3088,0.4412,0.8824,0.793,True
SPLIT,neon,vyse,8,9,3,68,0.1176,0.7794,0.1912,0.789,True
SPLIT,neon,waylay,17,13,3,68,0.25,0.7794,0.4118,0.779,True
SPLIT,fade,omen,17,14,4,68,0.25,0.4412,0.75,0.756,True
SPLIT,cypher,viper,4,3,2,68,0.0588,0.0882,0.8824,0.756,True
SPLIT,raze,viper,18,15,4,68,0.2647,0.3971,0.8824,0.755,True
SPLIT,astra,neon,10,9,3,68,0.1471,0.25,0.7794,0.755,True
SPLIT,omen,vyse,7,8,4,68,0.1029,0.75,0.1912,0.718,True
SPLIT,omen,waylay,15,13,3,68,0.2206,0.75,0.4118,0.714,True
SPLIT,neon,viper,33,29,4,68,0.4853,0.7794,0.8824,0.706,True
SPLIT,neon,omen,28,26,4,68,0.4118,0.7794,0.75,0.704,True
SPLIT,omen,raze,14,12,4,68,0.2059,0.75,0.3971,0.691,True
SPLIT,viper,waylay,17,13,3,68,0.25,0.8824,0.4118,0.688,True
SPLIT,omen,viper,30,30,4,68,0.4412,0.75,0.8824,0.667,True
SPLIT,astra,skye,6,4,2,68,0.0882,0.25,0.5588,0.632,True
SPLIT,viper,vyse,7,8,4,68,0.1029,0.8824,0.1912,0.61,True
SPLIT,astra,viper,9,6,2,68,0.1324,0.25,0.8824,0.6,True
SPLIT,raze,skye,9,6,3,68,0.1324,0.3971,0.5588,0.596,True
SPLIT,neon,raze,10,9,2,68,0.1471,0.7794,0.3971,0.475,True
SPLIT,astra,waylay,3,2,1,68,0.0441,0.25,0.4118,0.429,True
SPLIT,fade,waylay,5,3,3,68,0.0735,0.4412,0.4118,0.405,True
