event,map,team,opponent,agent
americas_stage_1,HAVEN,ENVY,Cloud9,phoenix
americas_stage_1,HAVEN,ENVY,Cloud9,chamber
americas_stage_1,HAVEN,G2 Esports,LOUD,neon
americas_stage_1,HAVEN,G2 Esports,LOUD,fade
americas_stage_1,HAVEN,G2 Esports,LOUD,astra
americas_stage_1,HAVEN,G2 Esports,LOUD,phoenix
americas_stage_1,HAVEN,G2 Esports,LOUD,chamber
americas_stage_1,HAVEN,LOUD,MIBR,neon
americas_stage_1,HAVEN,LOUD,MIBR,viper
americas_stage_1,HAVEN,LOUD,MIBR,omen
americas_stage_1,HAVEN,LOUD,MIBR,sova
americas_stage_1,HAVEN,LOUD,MIBR,vyse
americas_stage_1,HAVEN,LOUD,G2 Esports,neon
americas_stage_1,HAVEN,LOUD,G2 Esports,viper
americas_stage_1,HAVEN,LOUD,G2 Esports,omen
americas_stage_1,HAVEN,LOUD,G2 Esports,sova
americas_stage_1,HAVEN,LOUD,G2 Esports,vyse
americas_stage_1,HAVEN,LEVIATÁN,Cloud9,neon
americas_stage_1,HAVEN,LEVIATÁN,Cloud9,sova
americas_stage_1,HAVEN,LEVIATÁN,Cloud9,astra
americas_stage_1,HAVEN,LEVIATÁN,Cloud9,phoenix
americas_stage_1,HAVEN,LEVIATÁN,Cloud9,chamber
americas_stage_1,HAVEN,FURIA,Evil Geniuses,neon
americas_stage_1,HAVEN,FURIA,Evil Geniuses,viper
americas_stage_1,HAVEN,FURIA,Evil Geniuses,omen
americas_stage_1,HAVEN,FURIA,Evil Geniuses,sova
americas_stage_1,HAVEN,FURIA,Evil Geniuses,killjoy
americas_stage_1,HAVEN,FURIA,KRÜ Esports,neon
americas_stage_1,HAVEN,FURIA,KRÜ Esports,omen
americas_stage_1,HAVEN,FURIA,KRÜ Esports,sova
americas_stage_1,HAVEN,FURIA,KRÜ Esports,phoenix
americas_stage_1,HAVEN,FURIA,KRÜ Esports,cypher
americas_stage_1,HAVEN,KRÜ Esports,FURIA,neon
americas_stage_1,HAVEN,KRÜ Esports,FURIA,omen
americas_stage_1,HAVEN,KRÜ Esports,FURIA,fade
americas_stage_1,HAVEN,KRÜ Esports,FURIA,phoenix
americas_stage_1,HAVEN,KRÜ Esports,FURIA,cypher
americas_stage_1,HAVEN,100 Thieves,Evil Geniuses,neon
americas_stage_1,HAVEN,100 Thieves,Evil Geniuses,omen
americas_stage_1,HAVEN,100 Thieves,Evil Geniuses,sova
americas_stage_1,HAVEN,100 Thieves,Evil Geniuses,phoenix
americas_stage_1,HAVEN,100 Thieves,Evil Geniuses,cypher
americas_stage_1,HAVEN,100 Thieves,Sentinels,neon
americas_stage_1,HAVEN,100 Thieves,Sentinels,omen
americas_stage_1,HAVEN,100 Thieves,Sentinels,sova
americas_stage_1,HAVEN,100 Thieves,Sentinels,phoenix
americas_stage_1,HAVEN,100 Thieves,Sentinels,cypher
americas_stage_1,HAVEN,Evil Geniuses,100 Thieves,neon
americas_stage_1,HAVEN,Evil Geniuses,100 Thieves,viper
americas_stage_1,HAVEN,Evil Geniuses,100 Thieves,omen
americas_stage_1,HAVEN,Evil Geniuses,100 Thieves,sova
americas_stage_1,HAVEN,Evil Geniuses,100 Thieves,killjoy
americas_stage_1,HAVEN,Evil Geniuses,FURIA,neon
americas_stage_1,HAVEN,Evil Geniuses,FURIA,viper
americas_stage_1,HAVEN,Evil Geniuses,FURIA,omen
americas_stage_1,HAVEN,Evil Geniuses,FURIA,sova
americas_stage_1,HAVEN,Evil Geniuses,FURIA,killjoy
