map,agent,maps_played,pick_rate,pick_rate_from_comps,sample_reliability_score,global_pick_rate,local_pick_delta,cross_map_stability_score,map_dependence_score,meta_presence_score,agent_meta_label,tier_score,tier
Breeze,neon,24.0,0.6266666666666666,,0.7303,0.8105747126436783,-0.1839,0.7902,-0.246,0.5183,stable_pick,0.5183,stable_pick
Breeze,sova,24.0,0.875,,0.7303,0.2427011494252873,0.6323,0.1719,0.8457,0.4939,map_specialist,0.4939,map_specialist
Breeze,viper,24.0,0.8783333333333334,,0.7303,0.4952011494252873,0.3831,0.0862,0.5124,0.4781,map_specialist,0.4781,map_specialist
Breeze,jett,24.0,0.4991666666666667,,0.7303,0.0925143678160919,0.4067,0.6011,0.5439,0.4294,stable_pick,0.4294,stable_pick
Breeze,kayo,24.0,0.3974999999999999,,0.7303,0.0654597701149425,0.332,0.6782,0.444,0.4042,stable_pick,0.4042,stable_pick
Breeze,harbor,24.0,0.3366666666666666,,0.7303,0.0506896551724138,0.286,0.7246,0.3825,0.3891,situational_pick,0.3891,situational_pick
Breeze,iso,24.0,0.0616666666666666,,0.7303,0.0091666666666666,0.0525,0.9483,0.0702,0.3239,situational_pick,0.3239,situational_pick
Breeze,waylay,24.0,0.21,,0.7303,0.3605603448275862,-0.1506,0.6447,-0.2014,0.3225,situational_pick,0.3225,situational_pick
Breeze,sage,24.0,0.02,,0.7303,0.0137643678160919,0.0062,0.9667,0.0083,0.3109,situational_pick,0.3109,situational_pick
Breeze,astra,24.0,0.3949999999999999,,0.7303,0.2522701149425287,0.1427,0.2154,0.1909,0.3106,situational_pick,0.3106,situational_pick
Breeze,clove,24.0,0.0,,0.7303,0.0,0.0,1.0,0.0,0.3095,situational_pick,0.3095,situational_pick
Breeze,reyna,24.0,0.0,,0.7303,0.0,0.0,1.0,0.0,0.3095,situational_pick,0.3095,situational_pick
Breeze,yoru,24.0,0.0,,0.7303,0.0022126436781609,-0.0022,0.9858,-0.0029,0.3067,situational_pick,0.3067,situational_pick
Breeze,miks,24.0,0.0,,0.7303,0.0039942528735632,-0.004,0.9826,-0.0053,0.3061,situational_pick,0.3061,situational_pick
Breeze,deadlock,24.0,0.0,,0.7303,0.0242097701149425,-0.0242,0.9554,-0.0324,0.3006,situational_pick,0.3006,situational_pick
Breeze,gekko,24.0,0.0,,0.7303,0.0085632183908045,-0.0086,0.9428,-0.0115,0.2981,situational_pick,0.2981,situational_pick
Breeze,chamber,24.0,0.0816666666666666,,0.7303,0.1258908045977011,-0.0442,0.7275,-0.0591,0.2877,situational_pick,0.2877,situational_pick
Breeze,veto,24.0,0.0,,0.7303,0.0478304597701149,-0.0478,0.8683,-0.0639,0.2832,situational_pick,0.2832,situational_pick
Breeze,phoenix,24.0,0.0858333333333333,,0.7303,0.1569827586206896,-0.0711,0.6265,-0.0951,0.2692,situational_pick,0.2692,situational_pick
Breeze,vyse,24.0,0.0216666666666666,,0.7303,0.123721264367816,-0.1021,0.7524,-0.1366,0.2687,situational_pick,0.2687,situational_pick
Breeze,omen,24.0,0.3575,,0.7303,0.5063362068965518,-0.1488,0.0005,-0.199,0.2526,situational_pick,0.2526,situational_pick
Breeze,breach,24.0,0.0,,0.7303,0.0576867816091954,-0.0577,0.6438,-0.0772,0.2383,situational_pick,0.2383,situational_pick
Breeze,skye,24.0,0.145,,0.7303,0.3345689655172413,-0.1896,0.3435,-0.2536,0.2362,situational_pick,0.2362,situational_pick
Breeze,killjoy,24.0,0.0,,0.7303,0.1355316091954023,-0.1355,0.6283,-0.1812,0.2352,situational_pick,0.2352,situational_pick
Breeze,tejo,24.0,0.0,,0.7303,0.095301724137931,-0.0953,0.6285,-0.1275,0.2352,situational_pick,0.2352,situational_pick
Breeze,raze,24.0,0.0,,0.7303,0.1724425287356322,-0.1724,0.6003,-0.2306,0.2296,situational_pick,0.2296,situational_pick
Breeze,cypher,24.0,0.02,,0.7303,0.233735632183908,-0.2137,0.4393,-0.2858,0.2054,situational_pick,0.2054,situational_pick
Breeze,fade,24.0,0.0,,0.7303,0.3588218390804598,-0.3588,0.2934,-0.4799,0.1682,low_sample_signal,0.1682,low_sample_signal
Breeze,brimstone,24.0,0.0,,0.7303,0.2241522988505747,-0.2242,0.0,-0.2999,0.1095,low_sample_signal,0.1095,low_sample_signal
Fracture,neon,27.0,0.8707407407407408,,0.7746,0.8105747126436783,0.0602,0.7902,0.0805,0.6225,global_meta_core,0.6225,global_meta_core
Fracture,brimstone,27.0,0.8903703703703704,,0.7746,0.2241522988505747,0.6662,0.0,0.891,0.4723,map_specialist,0.4723,map_specialist
Fracture,cypher,27.0,0.6462962962962963,,0.7746,0.233735632183908,0.4126,0.4393,0.5518,0.4626,map_specialist,0.4626,map_specialist
